WifiStandard,Anten,Channel,Rate,Power_Actual,PacketSent,PacketGet,PER
802.11nHT20,ANT 1,1,0,-58.47 dBm,1000,851,14.90%
802.11nHT20,ANT 1,1,3,-58.47 dBm,1000,928,07.20%
802.11nHT20,ANT 1,1,5,-58.47 dBm,1000,913,08.70%
802.11nHT20,ANT 1,1,7,-58.47 dBm,1000,927,07.30%
802.11nHT20,ANT 1,6,0,-58.41 dBm,1000,921,07.90%
802.11nHT20,ANT 1,6,3,-58.41 dBm,1000,837,16.30%
802.11nHT20,ANT 1,6,5,-58.41 dBm,1000,850,15.00%
802.11nHT20,ANT 1,6,7,-58.41 dBm,1000,647,35.30%
802.11nHT20,ANT 1,11,0,-58.37 dBm,1000,849,15.10%
802.11nHT20,ANT 1,11,3,-58.37 dBm,1000,847,15.30%
802.11nHT20,ANT 1,11,5,-58.37 dBm,1000,869,13.10%
802.11nHT20,ANT 1,11,7,-58.37 dBm,1000,936,06.40%
802.11nHT20,ANT 2,1,0,-58.16 dBm,1000,935,06.50%
802.11nHT20,ANT 2,1,3,-58.16 dBm,1000,894,10.60%
802.11nHT20,ANT 2,1,5,-58.16 dBm,1000,844,15.60%
802.11nHT20,ANT 2,1,7,-58.16 dBm,1000,892,10.80%
802.11nHT20,ANT 2,6,0,-58.15 dBm,1000,980,02.00%
802.11nHT20,ANT 2,6,3,-58.15 dBm,1000,918,08.20%
802.11nHT20,ANT 2,6,5,-58.15 dBm,1000,896,10.40%
802.11nHT20,ANT 2,6,7,-58.15 dBm,1000,940,06.00%
802.11nHT20,ANT 2,11,0,-58.22 dBm,1000,912,08.80%
802.11nHT20,ANT 2,11,3,-58.22 dBm,1000,758,24.20%
802.11nHT20,ANT 2,11,5,-58.22 dBm,1000,483,51.70%
802.11nHT20,ANT 2,11,7,-58.22 dBm,1000,926,07.40%
802.11g,ANT 1,1,6,-58.47 dBm,1000,852,14.80%
802.11g,ANT 1,1,18,-58.47 dBm,1000,821,17.90%
802.11g,ANT 1,1,36,-58.47 dBm,1000,870,13.00%
802.11g,ANT 1,1,54,-58.47 dBm,1000,940,06.00%
802.11g,ANT 1,6,6,-58.41 dBm,1000,972,02.80%
802.11g,ANT 1,6,18,-58.41 dBm,1000,982,01.80%
802.11g,ANT 1,6,36,-58.41 dBm,1000,947,05.30%
802.11g,ANT 1,6,54,-58.41 dBm,1000,932,06.80%
802.11g,ANT 1,10,6,-58.4 dBm,1000,766,23.40%
802.11g,ANT 1,10,18,-58.4 dBm,1000,820,18.00%
802.11g,ANT 1,10,36,-58.4 dBm,1000,745,25.50%
802.11g,ANT 1,10,54,-58.4 dBm,1000,892,10.80%
802.11g,ANT 2,1,6,-58.16 dBm,1000,886,11.40%
802.11g,ANT 2,1,18,-58.16 dBm,1000,929,07.10%
802.11g,ANT 2,1,36,-58.16 dBm,1000,790,21.00%
802.11g,ANT 2,1,54,-58.16 dBm,1000,921,07.90%
802.11g,ANT 2,6,6,-58.15 dBm,1000,949,05.10%
802.11g,ANT 2,6,18,-58.15 dBm,1000,980,02.00%
802.11g,ANT 2,6,36,-58.15 dBm,1000,999,00.10%
802.11g,ANT 2,6,54,-58.15 dBm,1000,968,03.20%
802.11g,ANT 2,10,6,-58.16 dBm,1000,906,09.40%
802.11g,ANT 2,10,18,-58.16 dBm,1000,891,10.90%
802.11g,ANT 2,10,36,-58.16 dBm,1000,831,16.90%
802.11g,ANT 2,10,54,-58.16 dBm,1000,834,16.60%
