WifiStandard,Anten,Bandwidth,Channel,Frequency,Rate,Power_Lower_Limit,Power_Actual,Power_Upper_Limit,FreqErr_Lower_Limit,FreqErr_Actual,FreqErr_Upper_Limit,SymClock_Actual,SymClock_Upper_Limit,EVM_Actual,EVM_Upper_Limit
802.11nHT20,ANT 1,20,1,2412,0,,17 dBm,,,-23.89 kHz,,-9.6 ppm,,-23.39 dBm,
802.11nHT20,ANT 1,20,1,2412,1,,17.07 dBm,,,-23.88 kHz,,-9.61 ppm,,-23.23 dBm,
802.11nHT20,ANT 1,20,1,2412,2,,16.61 dBm,,,-23.84 kHz,,-9.82 ppm,,-23.8 dBm,
802.11nHT20,ANT 1,20,1,2412,3,,16.85 dBm,,,-23.83 kHz,,-9.78 ppm,,-23.52 dBm,
802.11nHT20,ANT 1,20,1,2412,4,,16.64 dBm,,,-23.81 kHz,,-9.79 ppm,,-23.63 dBm,
802.11nHT20,ANT 1,20,1,2412,5,,16.68 dBm,,,-23.76 kHz,,-9.47 ppm,,-23.91 dBm,
802.11nHT20,ANT 1,20,1,2412,6,,16.95 dBm,,,-23.77 kHz,,-10.13 ppm,,-24.12 dBm,
802.11nHT20,ANT 1,20,1,2412,7,,16.94 dBm,,,-23.75 kHz,,-9.59 ppm,,-24.63 dBm,
802.11nHT20,ANT 1,20,6,2437,0,,16.86 dBm,,,-24.04 kHz,,-9.98 ppm,,-23.48 dBm,
802.11nHT20,ANT 1,20,6,2437,1,,16.84 dBm,,,-24.06 kHz,,-9.89 ppm,,-23.33 dBm,
802.11nHT20,ANT 1,20,6,2437,2,,16.49 dBm,,,-24.01 kHz,,-9.87 ppm,,-23.48 dBm,
802.11nHT20,ANT 1,20,6,2437,3,,16.55 dBm,,,-24.02 kHz,,-9.9 ppm,,-23.44 dBm,
802.11nHT20,ANT 1,20,6,2437,4,,16.89 dBm,,,-24 kHz,,-9.86 ppm,,-23.45 dBm,
802.11nHT20,ANT 1,20,6,2437,5,,16.55 dBm,,,-24 kHz,,-9.88 ppm,,-23.78 dBm,
802.11nHT20,ANT 1,20,6,2437,6,,16.94 dBm,,,-24 kHz,,-9.68 ppm,,-24 dBm,
802.11nHT20,ANT 1,20,6,2437,7,,16.57 dBm,,,-23.94 kHz,,-9.9 ppm,,-24.55 dBm,
802.11nHT20,ANT 1,20,11,2462,0,,16.78 dBm,,,-24.27 kHz,,-9.77 ppm,,-23.2 dBm,
802.11nHT20,ANT 1,20,11,2462,1,,16.52 dBm,,,-24.27 kHz,,-9.65 ppm,,-23.44 dBm,
802.11nHT20,ANT 1,20,11,2462,2,,16.53 dBm,,,-24.29 kHz,,-9.43 ppm,,-23.42 dBm,
802.11nHT20,ANT 1,20,11,2462,3,,16.77 dBm,,,-24.26 kHz,,-9.93 ppm,,-23.23 dBm,
802.11nHT20,ANT 1,20,11,2462,4,,16.79 dBm,,,-24.27 kHz,,-9.92 ppm,,-23.17 dBm,
802.11nHT20,ANT 1,20,11,2462,5,,16.83 dBm,,,-24.22 kHz,,-9.86 ppm,,-23.49 dBm,
802.11nHT20,ANT 1,20,11,2462,6,,16.61 dBm,,,-24.22 kHz,,-9.73 ppm,,-24.06 dBm,
802.11nHT20,ANT 1,20,11,2462,7,,16.62 dBm,,,-24.18 kHz,,-9.9 ppm,,-24.61 dBm,
