WifiStandard,Anten,Bandwidth,Channel,Frequency,Rate,Power_Lower_Limit,Power_Actual,Power_Upper_Limit,FreqErr_Lower_Limit,FreqErr_Actual,FreqErr_Upper_Limit,SymClock_Actual,SymClock_Upper_Limit,EVM_Actual,EVM_Upper_Limit
802.11nHT20,ANT 2,20,1,2412,0,,17.2 dBm,,,-23.55 kHz,,-9.67 ppm,,-23.89 dBm,
802.11nHT20,ANT 2,20,1,2412,1,,17.2 dBm,,,-23.49 kHz,,-9.42 ppm,,-23.89 dBm,
802.11nHT20,ANT 2,20,1,2412,2,,17.2 dBm,,,-23.44 kHz,,-9.61 ppm,,-23.95 dBm,
802.11nHT20,ANT 2,20,1,2412,3,,17.28 dBm,,,-23.43 kHz,,-9.49 ppm,,-23.84 dBm,
802.11nHT20,ANT 2,20,1,2412,4,,17.22 dBm,,,-23.38 kHz,,-9.79 ppm,,-24.2 dBm,
802.11nHT20,ANT 2,20,1,2412,5,,17.3 dBm,,,-23.35 kHz,,-9.55 ppm,,-24.39 dBm,
802.11nHT20,ANT 2,20,1,2412,6,,17.2 dBm,,,-23.32 kHz,,-9.59 ppm,,-24.86 dBm,
802.11nHT20,ANT 2,20,1,2412,7,,17.27 dBm,,,-23.28 kHz,,-9.37 ppm,,-25.25 dBm,
802.11nHT20,ANT 2,20,6,2437,0,,17.08 dBm,,,-23.54 kHz,,-9.55 ppm,,-23.96 dBm,
802.11nHT20,ANT 2,20,6,2437,1,,17.09 dBm,,,-23.54 kHz,,-9.49 ppm,,-23.97 dBm,
802.11nHT20,ANT 2,20,6,2437,2,,17.05 dBm,,,-23.54 kHz,,-9.39 ppm,,-24.01 dBm,
802.11nHT20,ANT 2,20,6,2437,3,,17.1 dBm,,,-23.54 kHz,,-9.79 ppm,,-23.98 dBm,
802.11nHT20,ANT 2,20,6,2437,4,,17.09 dBm,,,-23.53 kHz,,-9.68 ppm,,-24.04 dBm,
802.11nHT20,ANT 2,20,6,2437,5,,17.08 dBm,,,-23.5 kHz,,-9.58 ppm,,-24.17 dBm,
802.11nHT20,ANT 2,20,6,2437,6,,17.07 dBm,,,-23.5 kHz,,-9.52 ppm,,-24.56 dBm,
802.11nHT20,ANT 2,20,6,2437,7,,17 dBm,,,-23.48 kHz,,-9.23 ppm,,-24.95 dBm,
802.11nHT20,ANT 2,20,11,2462,0,,16.87 dBm,,,-23.75 kHz,,-9.65 ppm,,-24.09 dBm,
802.11nHT20,ANT 2,20,11,2462,1,,16.85 dBm,,,-23.79 kHz,,-9.26 ppm,,-24.07 dBm,
802.11nHT20,ANT 2,20,11,2462,2,,16.86 dBm,,,-23.82 kHz,,-9.74 ppm,,-24.1 dBm,
802.11nHT20,ANT 2,20,11,2462,3,,16.83 dBm,,,-23.83 kHz,,-9.72 ppm,,-24.13 dBm,
802.11nHT20,ANT 2,20,11,2462,4,,16.66 dBm,,,-23.83 kHz,,-9.58 ppm,,-24.16 dBm,
802.11nHT20,ANT 2,20,11,2462,5,,16.79 dBm,,,-23.83 kHz,,-9.45 ppm,,-24.33 dBm,
802.11nHT20,ANT 2,20,11,2462,6,,16.92 dBm,,,-23.79 kHz,,-9.44 ppm,,-24.82 dBm,
802.11nHT20,ANT 2,20,11,2462,7,,16.68 dBm,,,-23.79 kHz,,-9.87 ppm,,-25.21 dBm,
802.11nHT40,ANT 2,40,5,2422,7,,17.28 dBm,,,-23.36 kHz,,-9.74 ppm,,-25.33 dBm,
802.11nHT40,ANT 2,40,5,2422,8,,17.16 dBm,,,-23.36 kHz,,-9.02 ppm,,-25.48 dBm,
802.11nHT40,ANT 2,40,5,2422,13,,17.24 dBm,,,-23.34 kHz,,-9.24 ppm,,-25.35 dBm,
802.11nHT40,ANT 2,40,8,2437,7,,17.04 dBm,,,-23.47 kHz,,-9.35 ppm,,-25.16 dBm,
802.11nHT40,ANT 2,40,8,2437,8,,17.05 dBm,,,-23.48 kHz,,-9.02 ppm,,-25.18 dBm,
802.11nHT40,ANT 2,40,8,2437,13,,17.08 dBm,,,-23.5 kHz,,-9.26 ppm,,-25.15 dBm,
802.11nHT40,ANT 2,40,13,2462,7,,16.87 dBm,,,-23.72 kHz,,-9.58 ppm,,-25.45 dBm,
802.11nHT40,ANT 2,40,13,2462,8,,16.9 dBm,,,-23.74 kHz,,-9.03 ppm,,-25.45 dBm,
802.11nHT40,ANT 2,40,13,2462,13,,16.89 dBm,,,-23.74 kHz,,-9.55 ppm,,-25.34 dBm,
802.11g,ANT 2,20,1,2412,6,,17.32 dBm,,,-23.28 kHz,,-10.06 ppm,,-22.95 dBm,
802.11g,ANT 2,20,1,2412,9,,17.2 dBm,,,-23.29 kHz,,-9.82 ppm,,-22.98 dBm,
802.11g,ANT 2,20,1,2412,12,,17.2 dBm,,,-23.31 kHz,,-9.61 ppm,,-22.99 dBm,
802.11g,ANT 2,20,1,2412,18,,17.25 dBm,,,-23.27 kHz,,-9.37 ppm,,-22.98 dBm,
802.11g,ANT 2,20,1,2412,24,,17.25 dBm,,,-23.26 kHz,,-9.5 ppm,,-22.99 dBm,
802.11g,ANT 2,20,1,2412,36,,17.21 dBm,,,-23.22 kHz,,-9.45 ppm,,-22.9 dBm,
